gate,sub_experiment,init_basis,measure_basis,d,rounds,rounds_before,rounds_coupled,p,ppm_weight,failure_metric,seed,num_physical_qubits,num_detectors,num_observables,shots,post_selected_shots,post_selection_rate,errors,logical_error_rate,seconds,decoder
MultiPatchPPM,single_patch_Z_control,Z,Z,3,6,6,0,0.001,1,decoded_Z_product_parity,20260720,25,72,1,240000,240000,1.0,412,0.0017166666666666,0.1294631150085479,pymatching
MultiPatchPPM,Z_product_w2,Z,Z,3,6,3,3,0.001,2,decoded_Z_product_parity,20260720,85,192,2,140000,140000,1.0,417,0.0029785714285714,0.2272318939794786,pymatching
MultiPatchPPM,Z_product_w3,Z,Z,3,6,3,3,0.001,3,decoded_Z_product_parity,20260720,152,324,3,60000,60000,1.0,446,0.0074333333333333,0.1671343010384589,pymatching
MultiPatchPPM,Z_product_w4,Z,Z,3,6,3,3,0.001,4,decoded_Z_product_parity,20260720,177,396,4,50000,50000,1.0,414,0.00828,0.1722059980384074,pymatching
MultiPatchPPM,Z_product_w5,Z,Z,3,6,3,3,0.001,5,decoded_Z_product_parity,20260720,244,528,5,40000,40000,1.0,424,0.0106,0.1939536689897067,pymatching
MultiPatchPPM,Z_product_w6,Z,Z,3,6,3,3,0.001,6,decoded_Z_product_parity,20260720,269,600,6,40000,40000,1.0,461,0.011525,0.2161303379689343,pymatching
MultiPatchPPM,Z_product_w7,Z,Z,3,6,3,3,0.001,7,decoded_Z_product_parity,20260720,336,732,7,30000,30000,1.0,480,0.016,0.2043217309983447,pymatching
MultiPatchPPM,Z_product_w8,Z,Z,3,6,3,3,0.001,8,decoded_Z_product_parity,20260720,361,804,8,30000,30000,1.0,564,0.0188,0.2209042799659073,pymatching
MultiPatchPPM,Z_product_w12,Z,Z,3,6,3,3,0.001,12,decoded_Z_product_parity,20260720,545,1212,12,20000,20000,1.0,548,0.0274,0.2355308569967746,pymatching
MultiPatchPPM,Z_product_w16,Z,Z,3,6,3,3,0.001,16,decoded_Z_product_parity,20260720,729,1620,16,20000,20000,1.0,682,0.0341,0.3264673190424219,pymatching
MultiPatchPPM,single_patch_Z_control,Z,Z,5,10,10,0,0.001,1,decoded_Z_product_parity,20260720,81,400,1,2940000,2940000,1.0,400,0.0001360544217687,9.8078011579928,pymatching
